ID,Security,Resources,Peace,Lives,Prosperity,1_Class,2_Class,3_Class,4_Class,5_Class,6_Class,7_Class
1,dbb0d0,e4eec3,d7eff7,fce6e7,f9f39b,,,,X,,,X
2,d0a2c6,d0dca4,b8d6e1,f6c6c3,f8d57f,,X,X,,X,X,X
3,c695bd,bbcd89,99c2cf,f1a8a3,f6b965,,,,X,X,X,X
4,bc89b5,a7c06f,7db0be,ed8b87,f49d4b,,,X,,X,X,X
5,b37ead,95b353,5ea1af,e96e6e,f38333,X,X,,X,X,X,X
6,aa73a6,82a93f,3992a1,e54c58,f26722,,,X,,X,X,X
7,8e608b,668831,2f7d89,be3e48,c8551a,,,,X,,X,X
0,e6e7e8,e6e7e8,e6e7e8,e6e7e8,e6e7e8,X,X,X,X,X,X,X
,,,,,,,,,,,,
Sidebars,"rgba(219, 176, 208, 0.59)","rgba(228, 238, 195, 0.8)","rgba(215, 239, 247, 0.54)","rgba(252, 230, 231, 0.51)","rgba(249, 243, 155, 0.49)",,,,,,,
